id,target,atom1,atom2,s1,p1,d1,f1,occ_s1,occ_p1,occ_d1,occ_f1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,top1,sblock1,pblock1,dblock1,fblock1,s2,p2,d2,f2,occ_s2,occ_p2,occ_d2,occ_f2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,top2,sblock2,pblock2,dblock2,fblock2,bondlen,n_nbr
mp-2693,0.207,Se,Sn,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.369349,-0.14445,-1.004952,0,2,2,10,0,4,2.17,0.83,1.39,1.96,1.27,14,5,-0.14445,0,1,0,0,3.01043354,6
mp-634101,2.784,Cl,H,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,1.533583001,6
mp-2612,0.4068,Te,Ge,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.426523,-0.149882,-1.117316,0,2,2,10,0,4,2.11,0.77,1.2,2.01,1.69,14,4,-0.149882,0,1,0,0,3.004287997,6
mp-19184,0.9701,O,V,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.175968,-1.610516,-0.204634,0,2,0,3,0,2,2.07,0.7775,1.53,1.63,0.73,5,4,-0.175968,0,0,1,0,2.18635754,6
mp-1057286,2.3475,H,Cs,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,-0.078699,-0.504903,0,0,1,0,0,0,1,3.43,1.81,2.44,0.79,-1.35,1,6,-0.078699,1,0,0,0,3.191254419,6
mp-2758,2.2313,Se,Sr,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.131793,-0.844489,0,0,2,0,0,0,2,2.49,1.32,1.95,0.95,-0.18,2,5,-0.131793,1,0,0,0,3.139709964,6
mp-1779,1.4678,Te,Yb,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.136989,-0.966137,0,-0.286408,2,0,0,14,2,2.26,1.084,1.87,1.1,-0.19,3,6,-0.136989,0,0,0,1,3.154016581,6
mp-2352325,1.5518,Br,H,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,1.679907881,6
mp-938,0.8086,Te,Ge,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.426523,-0.149882,-1.117316,0,2,2,10,0,4,2.11,0.77,1.2,2.01,1.69,14,4,-0.149882,0,1,0,0,2.812737527,6
mp-19830,0.1243,N,Er,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.134905,-0.935202,0,-0.278577,2,0,0,12,2,2.29,1.03,1.89,1.24,0.08,3,6,-0.134905,0,0,0,1,2.408799375,6
